transactionId,productId,transactionAmount,transactionDatetime
1,10,1000,15-09-2024 10:10
2,20,1500.5,02-01-2018 11:15
3,30,900.75,03-01-2018 12:30
4,40,2000,04-01-2018 13:25
5,50,1200,05-01-2018 14:40
6,60,1100,06-01-2018 15:50
7,70,1300.5,15-09-2024 10:10
8,80,700.25,08-01-2018 17:45
9,90,1800,09-01-2018 18:30
10,100,950,10-01-2018 19:05
11,10,1450,11-01-2018 20:20
12,20,1100,12-01-2018 10:15
13,30,1500.75,15-09-2024 10:10
14,40,1950,14-01-2018 12:50
15,50,1000,15-01-2018 13:25
16,60,1200,16-01-2018 14:40
17,70,1600.5,17-01-2018 15:10
18,80,850.25,18-01-2018 16:50
19,90,2000,15-09-2024 10:10
20,100,1400,20-01-2018 18:10
21,10,1000,21-01-2018 19:20
22,20,1750.5,22-01-2018 10:10
23,30,950.25,23-01-2018 11:30
24,40,1850,24-01-2018 12:20
25,50,1300,25-01-2018 13:55
26,60,1200,26-01-2018 14:40
27,70,1500.5,27-01-2018 15:30
28,80,1025.75,28-01-2018 16:20
29,90,2100,29-01-2018 17:40
30,100,1050,30-01-2018 18:15
31,10,1350,01-02-2018 19:10
32,20,1800,02-02-2018 10:25
33,30,950.75,03-02-2018 11:35
34,40,1700,04-02-2018 12:10
35,50,1150,05-02-2018 13:05
36,60,1000,06-02-2018 14:15
37,70,1250.5,07-02-2018 15:20
38,80,825.25,08-02-2018 16:45
39,90,1950,09-02-2018 17:30
40,100,1300,10-02-2018 18:20
41,10,1100,11-02-2018 19:10
42,20,1400.5,12-02-2018 10:35
43,30,925.75,13-02-2018 11:45
44,40,1850,14-02-2018 12:55
45,50,1000,15-02-2018 13:20
46,60,1250,16-02-2018 14:45
47,70,1600.5,17-02-2018 15:50
48,80,850.25,18-02-2018 16:30
49,90,2050,19-02-2018 17:15
50,100,1200,20-02-2018 18:05
